numER;mLOSmbed2;mLOSmbed3;sLOSmbed2;sLOSmbed3;numPOB;edMV;iMAmbed1;iMAmbed2;iMAmbed3;iSAmbed1;iSAmbed2;iSAmbed3;iSOA;iMV;osuMV;f1EDLWBS;f2EDRMBLKD;f3tEDd;f4tEDa;f5pSUc;f6tSUc;f7nCUo;f8nPCUo;f9nACUo;yOEE1c
18;28782;111264;23.49;87648;5;38.33;10;9;30;13;11;37;5;10512;13584;0;0.01436768;3524116;45542;0.99992;3435948;30485080;2818658;11318836;0.8107974
19;27054;92256;29106;72096;6;39.41;10;11;34;8;9;34;4;14.64;11.76;0;0.01380256;3520346;4519388;0.8827462;3260574;26854060;1516530;1071032;0.8127154
15;30.51;120.48;22734;90528;5;27.71;12;13;38;8;13;22;5;11184;15312;0;0.01229276;353696;4536282;0.6174478;1308778;32135080;15645640;1474038;0.8132756
17;24462;110112;21762;103.2;7;41.57;9;12;31;9;8;40;4;12336;12.72;0;0.01720778;3514304;4626366;0.9598628;4002396;26565160;1726320;197441.4;0.8053834
12;24894;102048;27918;101472;6;35.45;10;10;24;8;11;41;4;8016;10224;0;0.07656842;3533516;724904;0.99992;2768574;29818520;6910440;516125.6;0.6971272
14;23598;115296;22.95;112416;6;26.63;13;11;29;11;10;38;5;14544;16.56;0;0.01265742;356387;4563618;0.9104662;3437868;31608160;6063386;157676.2;0.8118506
17;31158;113568;29538;100896;7;31.85;7;9;28;10;10;21;4;10608;14.16;0;0.01246712;3518008;4517086;0.4893522;1713036;31593820;8844066;439875.2;0.8140926
14;28674;117.6;32346;68064;4;30.77;12;12;40;13;8;30;5;12048;14352;0;0.01462538;3530088;4529332;0.7201418;1138756;32186040;3546654;3146706;0.8116624
21;26514;68064;29754;92256;8;42.47;8;13;35;9;8;37;6;13488;14448;0;0.01345766;351207;4510976;0.9025116;3381954;26157940;2151394;1682508;0.8133768
13;28.89;124512;22.41;83616;9;42.11;11;12;37;9;10;35;5;15312;13104;0;0.02155524;351374;4512678;0.8710712;2810482;27836180;3170602;50113.02;0.806201
20;27.27;96864;27594;105504;6;27.17;10;9;37;8;8;25;6;10.32;8592;0;0.009039838;3561792;4561532;0.8733132;3215906;31293120;5471698;2810616;0.8151304
17;27378;123936;24894;107232;9;43.91;11;10;27;8;11;24;4;8.4;9168;0.241109;0.678729;5046018;5608166;0.764174;1129704;31759360;9769840;2236932;0.08137484
19;28458;86496;32022;93408;5;40.67;9;8;30;9;9;34;6;9552;11088;0;0.01424388;3517134;4516112;0.9956944;297722;27986800;317572.6;13201232;0.8124904
21;30402;81888;30402;123936;7;35.63;10;11;32;12;12;30;6;15504;7536;0;0.01129026;3509954;4508934;0.5200396;2053794;32630760;9858370;166054.8;0.8155392
15;28026;109536;32238;110688;4;41.93;12;12;22;13;11;32;6;9936;13872;0.2828712;0.6821696;521633;554079;0.8474064;9771226;33180200;8818670;1827304;0.07901472
15;30834;76128;27054;117024;6;29.51;7;13;32;9;11;28;4;15.12;8016;0;0.01309128;3535792;4535106;0.623524;116313;29755000;12683460;1451252;0.8127518
15;23814;80736;27378;91.68;4;34.01;8;10;33;13;8;25;4;12624;8.88;0;0.01508774;3518292;4517378;0.6556278;133379;31579780;3852446;1154670;0.811682
19;21654;123.36;31374;72672;6;43.01;13;10;27;9;12;37;5;16656;8208;0.193029;0.6808948;4874394;5971186;0.865599;3124668;28898740;2620752;118224.78;0.0815078
20;22.95;91.68;22194;79008;5;34.55;11;8;39;11;8;37;5;7344;10032;0;0.01149538;3536152;4535424;0.99992;2768426;32462440;3211400;10593740;0.8140276
14;23.49;108384;24354;96864;6;41.39;8;12;36;12;13;42;5;11.28;10512;0;0.0196731;3515412;4514342;0.99992;2788648;27978820;6012150;321912;0.8077772
14;25326;111.84;23274;121056;5;39.05;9;9;25;11;8;20;6;8.88;7344;0.126823;0.5960218;462115;4067646;0.5232146;3019598;33818040;8697344;2237084;0.1228538
14;25542;95136;25866;82464;5;29.33;8;8;28;10;9;23;5;16368;15216;0;0.0139409;3554324;4553908;0.754914;3537878;30237360;3761670;330259.8;0.8110746
11;23382;84192;30618;73248;8;41.21;8;12;27;8;8;24;4;8112;11184;0;0.02492968;3515836;4514778;0.9866162;2772482;27655620;4160952;29728.06;0.803131
16;30294;106.08;29.97;76128;9;39.95;8;11;39;9;11;31;3;13008;9.36;0;0.01661504;3519344;4518378;0.9065648;306458;26407880;3327884;394888;0.810319
14;27.81;72672;21654;83.04;10;39.77;8;12;38;8;9;24;6;15.6;15.6;0;0.01890304;3519644;4518676;0.77638;2762524;27754720;6350356;3047706;0.8082766
13;31.05;99744;26406;74.4;6;39.23;8;8;28;10;7;39;4;16.56;15408;0;0.02129338;3500316;4617804;0.4983098;137925;28166260;11069.54;1032094;0.8024434
14;31698;103.2;27702;87072;8;36.35;9;11;36;10;12;23;4;7824;10416;0;0.0172775;3523356;4522424;0.9389402;656621;30637160;9002538;112304.8;0.8096832
19;31914;97.44;25974;99744;7;30.05;7;11;42;12;10;22;5;9.84;8304;0;0.0105244;3528554;4527762;0.666074;1614032;32296340;11024840;3855516;0.81527
17;23166;121632;28458;96288;8;34.19;13;7;40;9;11;28;4;8592;11664;0;0.01338306;3537256;4536556;0.99992;2764556;31710040;3367522;528321;0.8123262
17;24138;115872;28.35;123.36;6;28.25;8;9;37;10;10;40;5;14064;10.32;0;0.01105794;3557898;4557566;0.870177;293985;28870400;3819182;974793.8;0.8134596
20;27594;110688;24138;93984;5;40.31;13;8;21;8;10;23;5;13776;12336;0.2925816;0.751788;5219954;82567;0.7527478;8190588;32430340;6186800;2193954;0.0551289
12;22.41;99168;25218;120.48;7;30.59;9;11;26;7;8;23;4;16272;9072;0;0.0169629;3550052;4549556;0.6125766;278659;31411580;11170440;6405292;0.8087278
19;27486;114.72;21978;103776;5;27.89;7;8;34;9;13;27;6;10032;12624;0;0.009767796;3544104;4543576;0.8254874;9743164;28967440;9160238;533627.2;0.8152696
18;26.19;90528;32.13;114144;4;28.79;9;12;29;10;12;27;3;10416;14736;0;0.01064324;3532848;453209;0.5756144;1225846;32048580;13384080;383341.6;0.8149302
18;30726;77.28;22518;80.16;10;27.35;11;12;21;10;12;31;4;9072;9552;0;0.01011084;3561134;456084;0.99992;2760864;31823540;12240520;2251120;0.8141978
15;27918;79008;24.57;110112;7;40.49;12;9;25;13;11;39;4;8688;7632;0;0.01796228;3517644;4516634;0.99992;2780128;32135260;3897004;80078.3;0.8092008
18;25866;112992;25326;88.8;10;36.71;10;10;40;12;9;33;5;14352;10704;0;0.01357118;3529474;4528624;0.885198;2808552;29758680;1598028;536655.6;0.8124986
14;28.35;98592;23598;102624;9;34.73;11;11;20;9;11;20;3;16.08;9744;0.1416564;0.6398034;4691214;4895418;0.3768772;202984;33498920;14287180;2236356;0.1037652
13;29754;107808;28134;97.44;4;43.19;12;12;39;8;10;29;4;12912;11.28;0;0.02210786;3510786;4509686;0.823341;3713024;29773780;5135748;6166.98;0.8058666
13;26946;87072;25434;71.52;9;27.53;8;11;21;12;10;21;3;10128;11856;0;0.01409186;3548074;454761;0.8525762;6935248;31209600;8171636;112969.3;0.81133
20;25002;89952;31266;81888;9;30.41;9;10;36;12;9;30;3;14448;9264;0;0.01011784;3550714;4550246;0.8607806;3104994;30207940;2645322;2496722;0.8146986
12;24.03;104352;31482;70944;8;29.87;7;8;30;12;9;29;6;12816;8496;0;0.01656368;3552842;4552404;0.9492258;2781864;28635140;665120;511388.6;0.8089316
16;29214;71.52;22842;114.72;8;42.65;8;10;25;11;9;42;4;11856;14256;0;0.017738;3512542;4511434;0.9786518;285362;27176360;779870.8;153323;0.8096138
12;24678;100896;30726;122208;6;41.03;11;11;33;8;8;38;5;12.24;7.44;0;0.02275236;3516144;451514;0.8289872;3013592;29355100;2621658;3676124;0.8050632
16;22086;93984;24678;88224;9;29.69;11;12;23;10;12;30;6;12144;16464;0;0.01234788;355322;4552782;0.9706426;2758088;30070100;8331716;115141.22;0.8125668
13;31374;70368;29214;115872;6;34.37;12;11;36;10;12;42;5;7632;15696;0;0.01759294;3536604;4535886;0.99992;2767548;32299840;9644114;6694684;0.808635
20;23274;83616;26298;118176;7;36.17;10;7;35;8;7;21;5;9456;12144;0;0.01203442;3504222;4503124;0.4762832;2256842;32434580;3209290;1386634;0.8152022
15;26298;83.04;30.51;75552;10;33.83;8;11;22;7;11;29;6;8304;12048;0;0.01500778;3538314;4537644;0.99992;2762982;27618880;7922786;318946.6;0.8108746
14;30618;91104;26838;107808;9;37.25;12;9;21;12;7;40;5;9648;8784;0.1132976;0.6040166;459709;4231342;0.99992;277439;32051140;687835.8;7052928;0.1230964
16;25.11;84768;31914;81312;7;36.89;12;9;23;8;11;41;5;10.8;10992;0;0.01543476;3528894;4541902;0.99992;2767196;28884200;2218876;584179.2;0.8103926
18;29538;75552;24462;119328;7;35.81;9;8;20;7;12;35;4;13968;14928;0;0.01717798;3532432;4979244;0.8510676;2889434;27243560;4324502;973336.8;0.79526
13;25974;82464;31158;76704;8;33.65;10;11;29;11;7;33;6;7.44;12432;0;0.01722444;3538896;4538246;0.99992;276247;32076520;4477552;4960972;0.8089108
20;29106;73824;30294;94.56;10;41.75;13;8;39;12;12;24;3;16464;14064;0;0.01389106;3492186;4490988;0.3851784;1646518;33288760;5190944;1602972;0.8142386
16;30942;112416;27.27;98016;10;26.45;11;8;35;9;7;40;4;14736;9456;0;0.01100044;3540454;4539846;0.6709526;1180344;30453020;413127.6;3435594;0.814161
14;26.73;88.8;30078;85.92;8;28.43;12;9;32;11;11;20;6;13392;11376;0;0.01351308;352941;4528618;0.521972;1971216;34041740;10016220;1974560;0.8125382
12;22518;94.56;29862;111.84;7;35.27;9;9;40;7;12;36;5;12432;13968;0;0.01955816;3533894;4533116;0.9048342;2773082;27048900;4888660;1562458;0.8070092
15;24786;114144;23922;86496;9;43.37;10;10;22;12;10;32;6;11.76;13008;0.317741;0.6883998;5347396;5680956;0.9943928;2761126;30420220;3917322;803615.2;0.07477274
12;27162;93408;24246;115296;7;32.93;9;10;41;10;12;39;5;15216;11568;0;0.01826046;3541274;4540662;0.8674084;2803024;28352700;5157084;1788584;0.8079396
16;24354;100.32;31.05;95136;9;35.99;8;9;22;11;12;27;4;11952;9648;0.07576274;0.6075672;4341324;4750068;0.7137622;110158;30453000;6546964;2238104;0.1268078
19;21.87;80.16;23166;69792;4;26.81;11;9;31;8;10;36;3;9264;16656;0;0.009389512;3563682;4563398;0.974655;4548634;30748460;6865408;11870400;0.8146188
18;32238;78432;21.87;89376;8;37.61;10;10;23;12;7;36;5;15024;7248;0;0.01398538;3506584;4519054;0.6676466;1414572;30253080;559347.8;59298.98;0.81281
12;25758;95712;28242;117.6;9;31.67;11;11;34;11;8;26;4;10992;15792;0;0.01756184;3521844;4520952;0.5337406;139444;33329140;7889032;713529.8;0.8094032
12;31482;121056;30942;89952;5;32.39;9;13;20;8;8;32;5;10704;14.64;0.2384834;0.665036;5092004;5281674;0.9734;417306;29292700;7361882;242277.6;0.0865105
20;26082;107232;29322;78432;7;31.49;8;11;38;10;8;42;5;9.36;16752;0;0.01047726;3546606;4546054;0.99992;2756864;29386960;4100750;7885500;0.8145992
19;29646;72096;23706;92832;5;38.87;9;9;40;9;7;32;3;7536;8112;0;0.01361344;3522438;4521496;0.99992;2778324;29662800;1397396;6186290;0.812827
16;25434;73248;26514;104352;6;42.29;9;12;41;10;11;27;4;7.92;10896;0;0.01758828;3503528;4502372;0.8655624;8256822;30015400;7864586;1963038;0.8104006
12;31.59;98016;27162;68.64;7;32.75;11;8;42;9;13;32;6;15696;10128;0;0.01816074;3542032;454143;0.892399;2804136;28151640;2627508;3859874;0.8080116
20;29.97;104928;30834;124512;8;32.21;12;7;30;9;9;25;5;16176;13.68;0;0.01071686;3519112;4518186;0.452495;164108;33513340;4869124;15855.68;0.8156228
15;24.57;89376;23382;70368;4;26.99;11;7;24;9;9;34;3;13.68;7728;0;0.01197336;3553092;4552668;0.9179604;704636;28769240;338526.4;1618104;0.812975
16;23058;79584;30186;116448;8;33.47;8;8;22;8;13;28;4;8976;13776;0;0.01392006;3522708;4521848;0.716362;1008224;29515480;8699410;421625.6;0.8126466
19;29862;119904;26622;73824;6;37.79;7;8;31;7;13;30;4;9168;7824;0;0.01456298;3526014;4708102;0.99992;2776158;25206460;4761248;6753094;0.8044874
12;32022;69216;27.81;108384;6;30.23;10;8;33;13;11;35;3;11664;14544;0;0.01676336;3541618;4541036;0.8418708;6417646;31268480;2824230;1459038;0.8093736
11;25218;70944;26.73;67488;6;38.15;9;7;37;11;13;41;5;15984;11472;0;0.02307844;3524944;4524008;0.9762662;3411454;25837440;149721.6;4349434;0.8043266
18;28242;74976;28674;77.28;5;28.97;13;10;20;13;11;25;5;8208;14832;0;0.01070974;3555556;4555172;0.99992;3106408;34016680;8870126;312642.6;0.8138602
18;26406;81312;26082;80736;10;40.85;13;7;37;7;8;38;5;7248;16176;0;0.01510174;3516712;4515676;0.99992;2763014;30756160;538272.4;7174260;0.8117378
17;32.13;102624;22302;102048;10;31.13;8;8;31;12;11;36;5;9744;15984;0;0.01218528;3547986;4547462;0.99992;2754098;30362540;4517752;1028717.2;0.8130296
20;31806;105504;28782;118752;9;30.95;12;11;24;11;8;41;3;13.2;16.08;0;0.01029998;3548064;4548142;0.9267782;3842752;31055360;2446170;407551.6;0.8146102
17;22194;69792;24.03;111264;9;32.57;12;12;42;10;9;22;5;13104;11952;0;0.01274898;3514158;4513166;0.441767;2120028;33846140;12331800;7034084;0.813944
19;30186;117024;25758;85344;5;36.53;10;13;33;10;12;29;3;12.72;15024;0;0.01279384;35237;4522754;0.8425682;593502;29002820;7322888;383282.6;0.8135396
15;32346;116448;27486;99168;7;33.11;12;10;28;8;9;33;3;10896;8976;0;0.01468856;3540844;454027;0.9332822;2851978;30291620;3613454;160820.4;0.811103
17;25.65;101472;25542;106656;5;32.03;12;13;41;12;10;26;3;11376;8688;0;0.01253758;352213;4521238;0.6394122;1270014;33471680;11314320;2153858;0.8138064
16;30078;67488;25.11;108.96;4;43.55;10;10;35;9;10;25;4;11568;15.12;0;0.01811234;3490404;4489182;0.4973986;1558614;30691980;5677318;703042.4;0.810644
15;28134;118752;28026;95712;7;37.43;11;10;30;7;12;34;4;15408;12.24;0;0.0198787;3527342;4844564;0.8199418;2865206;28049940;4906576;453574.8;0.7958944
13;24246;122208;25002;119904;9;33.29;10;9;41;11;10;33;4;8784;12912;0;0.01704012;3540074;453942;0.99992;276124;31235900;4838148;547554.6;0.809038
19;23706;119328;29646;77856;8;40.13;7;9;32;11;10;31;4;14256;16272;0;0.01451184;3518826;4585746;0.8966164;3046392;27034920;1045943;475506;0.8093232
16;26622;118176;31.59;113568;8;29.15;9;10;32;11;10;35;4;7728;13392;0;0.01212332;35549;4554498;0.99992;2756178;32031980;8113956;1099720;0.81266
15;29322;108.96;28.89;69216;7;38.69;11;7;35;11;9;20;3;11088;13488;0;0.01716372;3507112;4506034;0.6679954;9840202;31686840;931680.4;33627.08;0.8105514
17;29.43;88224;24786;74976;6;39.59;10;12;26;10;8;27;4;14832;15504;0;0.0156396;3519768;4539772;0.8342516;32652;29472860;3299026;109384;0.810331
13;31266;77856;28998;98592;8;34.91;9;7;25;9;11;26;6;16752;13296;0;0.01786946;3524192;452337;0.6628006;9283448;29976820;3478864;110680.86;0.8091462
13;23922;92832;22626;84768;9;37.07;13;9;34;11;13;22;5;8496;12528;0;0.01897514;3516948;4515968;0.8433274;8545792;32730640;8614106;311215.2;0.8085186
17;27702;74.4;31698;100.32;9;26.27;11;12;42;8;9;37;5;14.16;9.84;0;0.01028286;3565388;4565178;0.8584708;2811238;29883440;6210842;8205122;0.8139348
17;22302;76704;31806;106.08;8;28.07;12;9;27;12;12;39;3;14928;9936;0;0.01098744;3558992;455868;0.9041338;3267326;31024520;3652116;358704.2;0.8134856
20;21978;122784;28566;122784;9;38.51;9;11;23;12;9;26;4;12528;15888;0.2309898;0.7293622;4973954;771945;0.4611124;1645086;33371360;10453020;2239652;0.06200238
20;22734;87648;25.65;84192;8;37.97;10;12;29;12;12;35;3;11472;7.92;0;0.01263324;3525378;452447;0.99992;2854648;29452080;5666300;206957.4;0.8135242
18;28566;85344;29.43;109536;5;43.73;12;12;24;11;10;22;6;13296;10.8;0.07779248;0.6002614;4342222;4383524;0.388028;3013322;33810040;10455380;2236878;0.1291976
13;28998;96288;22086;91104;8;26.09;12;13;27;10;9;40;5;10224;8.4;0;0.01335462;3566076;4565852;0.99992;2761394;31688140;9096780;4411116;0.8112038
11;22842;85.92;26946;121632;6;42.83;11;8;38;13;8;21;4;13872;16368;0;0.02590992;3485208;4484006;0.2842764;2841304;34468680;4655670;715312;0.8040298
12;26838;103776;26.19;112992;5;35.09;8;8;26;11;7;31;4;13584;13.2;0;0.01949418;353302;4536604;0.8272768;399445;30059020;508295.8;877748.2;0.8068996
18;21762;68.64;23058;79584;5;28.61;11;13;26;7;9;28;4;15792;12816;0;0.0105767;3556604;455623;0.7904318;342481;29652720;9334916;3542812;0.8138928
21;22626;106656;23814;104928;5;31.31;7;10;25;12;12;38;5;15888;10608;0;0.009921248;3547516;4546988;0.8821872;3961516;27783540;4635670;384279;0.815051
