Simulation;const ed num Emergency Room;const mipw time Treatment LOS[mbed2];const mipw time Treatment LOS[mbed3];const sipw time Treatment LOS[mbed2];const sipw time Treatment LOS[mbed3];const surg num PostOp Beds;edMeanValue ppd;init L MEDBED AVAIL[mbed1];init L MEDBED AVAIL[mbed2];init L MEDBED AVAIL[mbed3];init L SURGBED AVAIL[mbed1];init L SURGBED AVAIL[mbed2];init L SURGBED AVAIL[mbed3];init L SURGERY OR AVAIL;isuMeanValue ppd;osuMeanValue ppd;f1pcntEDLWBS;f2pcntEDRMBLKD;f3timeEDdischarge;f4timeEDadmission;f5pcntSUcompletion;f6timeSUcompletion;f7numICUoccupy;f8numPCUoccupy;f9numACUoccupy;yOEE1avail;yOEE1c;yOEE1perf;yOEE1qual
1;21;32.526;85.344;20.574;119.136;6;45.23;8;11;42;15;7;39;4;14.192;14.16;0;0.014330514;3.489.795.714;4.488.587.143;0.592264286;122.357;30185200;5.787.841.429;6.848.704.286;0.984742857;0.813955;1.227.147.143;0.678658
2;9;30.546;74.976;23.706;133.728;6;45.95;13;8;39;14;12;24;7;13.968;8.304;5,31E+00;0.033967871;3.501.252.857;4.500.401.429;0.362229143;403.613;34743700;7.702.475.714;7.100.185.714;0.963925429;0.785229857;1.221.621.429;0.671820286
3;10;27.09;141.792;19.53;72.48;8;22.43;14;8;45;14;10;37;5;18.48;17.904;0;0.014923671;358.048;4.580.514.286;0.92382;4.235.181.429;31202042.86;8.357.138.571;5.557.741.429;0.984239857;0.808606857;1.211.341.429;0.684376
4;13;22.122;120.48;25.722;60.768;11;48.05;13;6;34;12;11;20;5;8.72;5.232;0.075017286;0.455122;4.371.412.857;2.385.912.857;0.99992;2.797.497.143;31696771.43;5.629.552.857;2.207.751.429;0.494760571;0.203385714;0.818626714;0.503268571
5;21;30.834;88.416;22.662;71.136;3;38.51;12;9;37;11;15;29;5;9.936;14.352;0;0.012201271;3.520.972.857;4.519.985.714;0.936587286;6.523.464.286;30779428.57;7.161.262.857;2.283.587.143;0.987036429;0.814171571;122.192;0.680512
6;17;24.03;55.008;22.914;75.744;2;23.51;12;14;17;9;8;12;6;7.12;14.032;0;0.009201297;3.540.118.571;4.539.458.571;0.499642857;2.613.015.714;35600542.86;20563400;1434750;0.990227429;0.815666714;1.218.311.429;0.681778857
7;18;28.746;110.304;24.462;73.824;6;30.47;14;14;21;6;6;21;2;19.312;9.04;0.052834429;0.612071857;4.183.472.857;6.076.917.143;0.562457714;3.320.618.571;33403971.43;12103214.29;3.514.956;0.285244429;0.143936571;0.845922143;0.545338
8;23;32.382;113.952;21.402;137.568;8;37.01;10;9;13;11;13;22;6;16.048;6.736;0.545813857;0.861713857;5.840.448.571;1.753.351.429;0.371432286;3.645.018.571;35656171.43;21193642.86;2.239.678.571;0.103239;0.022704557;0.578379857;0.382595
9;17;31.194;59.616;26.766;50.208;11;49.55;8;11;29;14;9;34;7;11.6;5.424;0;0.019392971;34.991;4.497.865.714;0.99992;2.793.437.143;27975514.29;1.700.462.857;2.604.911.429;0.979385;0.808763857;1.225.145.714;0.679255143
10;8;35.874;52.128;30.978;103.584;5;49.01;12;7;26;8;11;19;2;13.36;10.48;0.017344214;0.040051086;3.919.218.571;4.920.397.143;0.319275857;2.477.192.857;32534514.29;4.672.802.857;3.530.762.857;0.958786143;0.635521714;1.107.822.857;0.595712571
11;21;32.67;141.6;23.166;61.92;7;25.91;8;15;24;13;7;26;6;13.776;6.384;0;0.105286014;3.547.677.143;1.585.664.286;0.795823857;1.258.031.429;30688014.29;7.112.675.714;2.102.622.857;0.877928429;0.618687143;1.061.185.714;0.665583714
12;17;31.95;96.48;31.77;131.424;10;49.61;11;11;32;5;6;43;6;14.352;16.624;0.033252686;0.488464857;3.993.841.429;2.949.275.714;0.402724;2.237.661.429;27630300;5.377.268.571;3.844.645.714;0.436629857;0.221834143;0.895414286;0.555470714
13;15;18.558;55.392;19.026;58.272;5;49.73;6;7;19;9;7;27;7;13.168;10.032;0.040328886;0.474631;407.789;259.396;0.677577857;156.994;24470985.71;6.408.648.571;3.709.285.714;0.47109;0.225727571;0.880132143;0.541142429
14;12;21.15;48.288;24.138;94.944;3;33.89;15;6;47;8;13;13;3;16.208;16.688;0;0.018790586;3.499.892.857;4.498.781.429;0.209604857;3.651.631.429;35785371.43;14812600;18775314.29;0.980031429;0.809443;1.225.537.143;0.679200286
15;12;19.026;63.84;18.198;142.176;6;44.63;7;10;47;7;8;28;7;13.104;16.72;0;0.024745514;3.507.742.857;4.506.585.714;0.775033857;3.144.761.429;27191428.57;5.287.412.857;4.907.624.286;0.973727;0.803662;1.223.937.143;0.679713714
16;15;23.058;135.072;22.194;82.848;2;23.21;12;8;35;11;8;29;5;19.984;11.088;0;0.010295071;3.552.992.857;455.259;0.613109857;1.083.335.714;33124571.43;4.238.792.857;3.668.085.714;0.989076571;0.814701429;1.216.481.429;0.682806286
17;11;19.242;91.296;18.594;51.36;9;32.87;8;5;12;8;12;44;3;6.96;5.296;0.383804714;0.711828571;5.598.711.429;6.255.955.714;0.99992;2.765.325.714;31887485.71;11788842.86;18954457.14;0.262525143;0.065902414;0.620104714;0.407903571
18;8;27.018;95.328;21.294;67.872;3;46.31;13;7;47;15;13;23;3;5.456;17.616;0.006556474;0.038259686;3.768.097.143;4.768.917.143;0.945352857;5.335.695.714;34270600;6.395.658.571;4.548.515.714;0.960287857;0.688458857;1.147.681.429;0.625516857
19;9;24.462;95.712;20.826;85.152;4;41.87;6;6;39;10;13;42;6;5.072;6.96;0;0.0309537;3.514.444.286;4.513.371.429;0.99992;278.959;29815071.43;7.413.522.857;9.992.518.571;0.967162;0.797881571;1.222.971.429;0.680059
20;12;26.55;55.776;23.31;73.632;7;49.85;6;12;15;12;9;34;6;5.168;19.792;0.290775714;0.570723571;529.928;3.388.254.286;0.99992;2.755.865.714;32038657.14;11741442.86;5.992.082.857;0.414276;0.116784571;0.670618571;0.425636857
