Simulation	const ed num Emergency Room	const mipw time Treatment LOS[mbed2]	const mipw time Treatment LOS[mbed3]	const sipw time Treatment LOS[mbed2]	const sipw time Treatment LOS[mbed3]	const surg num PostOp Beds	edMeanValue ppd	init L MEDBED AVAIL[mbed1]	init L MEDBED AVAIL[mbed2]	init L MEDBED AVAIL[mbed3]	init L SURGBED AVAIL[mbed1]	init L SURGBED AVAIL[mbed2]	init L SURGBED AVAIL[mbed3]	init L SURGERY OR AVAIL	isuMeanValue ppd	osuMeanValue ppd	f1pcntEDLWBS	f2pcntEDRMBLKD	f3timeEDdischarge	f4timeEDadmission	f5pcntSUcompletion	f6timeSUcompletion	f7numICUoccupy	f8numPCUoccupy	f9numACUoccupy	yOEE1avail	yOEE1c	yOEE1perf	yOEE1qual
1	21	32.526	85.344	20.574	119.136	6	45.23	8	11	42	15	7	39	4	14.192	14.16	0	0.014330514	3.489795714	4.488587143	0.592264286	12.2357	30185200	578784.1429	684870.4286	0.984742857	0.813955	1.227147143	0.678658
2	9	30.546	74.976	23.706	133.728	6	45.95	13	8	39	14	12	24	7	13.968	8.304	5.30887E-05	0.033967871	3.501252857	4.500401429	0.362229143	40.3613	34743700	7702475.714	710018.5714	0.963925429	0.785229857	1.221621429	0.671820286
3	10	27.09	141.792	19.53	72.48	8	22.43	14	8	45	14	10	37	5	18.48	17.904	0	0.014923671	3.58048	4.580514286	0.92382	4.235181429	31202042.86	835713.8571	5557741.429	0.984239857	0.808606857	1.211341429	0.684376
4	13	22.122	120.48	25.722	60.768	11	48.05	13	6	34	12	11	20	5	8.72	5.232	0.075017286	0.455122	4.371412857	23.85912857	0.99992	2.797497143	31696771.43	562955.2857	2207751.429	0.494760571	0.203385714	0.818626714	0.503268571
5	21	30.834	88.416	22.662	71.136	3	38.51	12	9	37	11	15	29	5	9.936	14.352	0	0.012201271	3.520972857	4.519985714	0.936587286	6.523464286	30779428.57	7161262.857	2283587.143	0.987036429	0.814171571	1.22192	0.680512
6	17	24.03	55.008	22.914	75.744	2	23.51	12	14	17	9	8	12	6	7.12	14.032	0	0.009201297	3.540118571	4.539458571	0.499642857	26.13015714	35600542.86	20563400	1434750	0.990227429	0.815666714	1.218311429	0.681778857
7	18	28.746	110.304	24.462	73.824	6	30.47	14	14	21	6	6	21	2	19.312	9.04	0.052834429	0.612071857	4.183472857	60.76917143	0.562457714	3.320618571	33403971.43	12103214.29	3514.956	0.285244429	0.143936571	0.845922143	0.545338
8	23	32.382	113.952	21.402	137.568	8	37.01	10	9	13	11	13	22	6	16.048	6.736	0.545813857	0.861713857	5.840448571	175.3351429	0.371432286	36.45018571	35656171.43	21193642.86	2239678.571	0.103239	0.022704557	0.578379857	0.382595
9	17	31.194	59.616	26.766	50.208	11	49.55	8	11	29	14	9	34	7	11.6	5.424	0	0.019392971	3.4991	4.497865714	0.99992	2.793437143	27975514.29	170046.2857	2604911.429	0.979385	0.808763857	1.225145714	0.679255143
10	8	35.874	52.128	30.978	103.584	5	49.01	12	7	26	8	11	19	2	13.36	10.48	0.017344214	0.040051086	3.919218571	4.920397143	0.319275857	24.77192857	32534514.29	4672802.857	3530.762857	0.958786143	0.635521714	1.107822857	0.595712571
11	21	32.67	141.6	23.166	61.92	7	25.91	8	15	24	13	7	26	6	13.776	6.384	0	0.105286014	3.547677143	15.85664286	0.795823857	12.58031429	30688014.29	7112675.714	210262.2857	0.877928429	0.618687143	1.061185714	0.665583714
12	17	31.95	96.48	31.77	131.424	10	49.61	11	11	32	5	6	43	6	14.352	16.624	0.033252686	0.488464857	3.993841429	29.49275714	0.402724	22.37661429	27630300	537726.8571	38446.45714	0.436629857	0.221834143	0.895414286	0.555470714
13	15	18.558	55.392	19.026	58.272	5	49.73	6	7	19	9	7	27	7	13.168	10.032	0.040328886	0.474631	4.07789	25.9396	0.677577857	15.6994	24470985.71	640864.8571	37092.85714	0.47109	0.225727571	0.880132143	0.541142429
14	12	21.15	48.288	24.138	94.944	3	33.89	15	6	47	8	13	13	3	16.208	16.688	0	0.018790586	3.499892857	4.498781429	0.209604857	36.51631429	35785371.43	14812600	18775314.29	0.980031429	0.809443	1.225537143	0.679200286
15	12	19.026	63.84	18.198	142.176	6	44.63	7	10	47	7	8	28	7	13.104	16.72	0	0.024745514	3.507742857	4.506585714	0.775033857	3.144761429	27191428.57	5287412.857	4907624.286	0.973727	0.803662	1.223937143	0.679713714
16	15	23.058	135.072	22.194	82.848	2	23.21	12	8	35	11	8	29	5	19.984	11.088	0	0.010295071	3.552992857	4.55259	0.613109857	10.83335714	33124571.43	4238792.857	3668085.714	0.989076571	0.814701429	1.216481429	0.682806286
17	11	19.242	91.296	18.594	51.36	9	32.87	8	5	12	8	12	44	3	6.96	5.296	0.383804714	0.711828571	5.598711429	62.55955714	0.99992	2.765325714	31887485.71	11788842.86	18954457.14	0.262525143	0.065902414	0.620104714	0.407903571
