numER;mLOSmbed2;mLOSmbed3;sLOSmbed2;sLOSmbed3;numPOB;edMV;iMAmbed1;iMAmbed2;iMAmbed3;iSAmbed1;iSAmbed2;iSAmbed3;iSOA;iMV;osuMV;f1EDLWBS;f2EDRMBLKD;f3tEDd;f4tEDa;f5pSUc;f6tSUc;f7nCUo;f8nPCUo;f9nACUo;yOEE1c
21;32526;85344;20574;119136;6;45.23;8;11;42;15;7;39;4;14192;14.16;0;0.014330514;3489795714;4488587143;0.592264286;122357;30185200;5787841429;6848704286;0.813955
9;30546;74976;23706;133728;6;45.95;13;8;39;14;12;24;7;13968;8304;5;0.033967871;3501252857;4500401429;0.362229143;403613;34743700;7702475714;7100185714;0.785229857
10;27.09;141792;19.53;72.48;8;22.43;14;8;45;14;10;37;5;18.48;17904;0;0.014923671;358048;4580514286;0.92382;4235181429;31202042.86;8357138571;5557741429;0.808606857
13;22122;120.48;25722;60768;11;48.05;13;6;34;12;11;20;5;8.72;5232;0.075017286;0.455122;4371412857;2385912857;0.99992;2797497143;31696771.43;5629552857;2207751429;0.203385714
21;30834;88416;22662;71136;3;38.51;12;9;37;11;15;29;5;9936;14352;0;0.012201271;3520972857;4519985714;0.936587286;6523464286;30779428.57;7161262857;2283587143;0.814171571
17;24.03;55008;22914;75744;2;23.51;12;14;17;9;8;12;6;7.12;14032;0;0.009201297;3540118571;4539458571;0.499642857;2613015714;35600542.86;20563400;1434750;0.815666714
18;28746;110304;24462;73824;6;30.47;14;14;21;6;6;21;2;19312;9.04;0.052834429;0.612071857;4183472857;6076917143;0.562457714;3320618571;33403971.43;12103214.29;3514956;0.143936571
23;32382;113952;21402;137568;8;37.01;10;9;13;11;13;22;6;16048;6736;0.545813857;0.861713857;5840448571;1753351429;0.371432286;3645018571;35656171.43;21193642.86;2239678571;0.022704557
17;31194;59616;26766;50208;11;49.55;8;11;29;14;9;34;7;11.6;5424;0;0.019392971;34991;4497865714;0.99992;2793437143;27975514.29;1700462857;2604911429;0.808763857
8;35874;52128;30978;103584;5;49.01;12;7;26;8;11;19;2;13.36;10.48;0.017344214;0.040051086;3919218571;4920397143;0.319275857;2477192857;32534514.29;4672802857;3530762857;0.635521714
21;32.67;141.6;23166;61.92;7;25.91;8;15;24;13;7;26;6;13776;6384;0;0.105286014;3547677143;1585664286;0.795823857;1258031429;30688014.29;7112675714;2102622857;0.618687143
17;31.95;96.48;31.77;131424;10;49.61;11;11;32;5;6;43;6;14352;16624;0.033252686;0.488464857;3993841429;2949275714;0.402724;2237661429;27630300;5377268571;3844645714;0.221834143
15;18558;55392;19026;58272;5;49.73;6;7;19;9;7;27;7;13168;10032;0.040328886;0.474631;407789;259396;0.677577857;156994;24470985.71;6408648571;3709285714;0.225727571
12;21.15;48288;24138;94944;3;33.89;15;6;47;8;13;13;3;16208;16688;0;0.018790586;3499892857;4498781429;0.209604857;3651631429;35785371.43;14812600;18775314.29;0.809443
12;19026;63.84;18198;142176;6;44.63;7;10;47;7;8;28;7;13104;16.72;0;0.024745514;3507742857;4506585714;0.775033857;3144761429;27191428.57;5287412857;4907624286;0.803662
15;23058;135072;22194;82848;2;23.21;12;8;35;11;8;29;5;19984;11088;0;0.010295071;3552992857;455259;0.613109857;1083335714;33124571.43;4238792857;3668085714;0.814701429
11;19242;91296;18594;51.36;9;32.87;8;5;12;8;12;44;3;6.96;5296;0.383804714;0.711828571;5598711429;6255955714;0.99992;2765325714;31887485.71;11788842.86;18954457.14;0.065902414
8;27018;95328;21294;67872;3;46.31;13;7;47;15;13;23;3;5456;17616;0.006556474;0.038259686;3768097143;4768917143;0.945352857;5335695714;34270600;6395658571;4548515714;0.688458857
9;24462;95712;20826;85152;4;41.87;6;6;39;10;13;42;6;5072;6.96;0;0.0309537;3514444286;4513371429;0.99992;278959;29815071.43;7413522857;9992518571;0.797881571
12;26.55;55776;23.31;73632;7;49.85;6;12;15;12;9;34;6;5168;19792;0.290775714;0.570723571;529928;3388254286;0.99992;2755865714;32038657.14;11741442.86;5992082857;0.116784571
11;35622;128352;20034;69.6;8;41.39;14;13;50;5;7;15;3;9.84;7.12;0;0.025035314;3515592857;451457;0.760683571;2788521429;31769085.71;8309284286;8142162857;0.803135429
18;21978;75168;20898;134304;6;20.75;6;13;25;11;12;21;4;12048;10.8;0;0.007670004;3547181429;4546674286;0.413304429;2425217143;33842385.71;23304328.57;2778554286;0.816404429
21;24.57;72864;28494;112608;8;46.85;8;7;43;11;5;36;3;9.68;4912;0;0.014843814;3480517143;4479282857;0.577725429;2158027143;30859485.71;591217;6138987143;0.814070571
21;31.05;112416;34722;139.68;11;48.53;10;14;30;13;8;33;7;17.52;14.32;0.186218143;0.678066143;4824175714;579018;0.386619571;2217844286;32912142.86;7514678571;2237458571;0.084049143
20;22086;96096;34362;87264;9;41.15;7;11;34;12;11;20;3;14.16;7312;0;0.0136897;3490662857;448947;0.421864571;2175762857;31668657.14;9497657143;8573905714;0.814532571
19;20394;88992;22626;138.72;6;42.71;11;5;31;14;11;20;6;18768;4112;0;0.015256157;3477478571;4515748571;0.265724;5402208571;35213071.43;6575537143;4272494286;0.812473571
22;26.73;109536;25794;51936;8;44.09;13;8;33;14;8;44;3;19632;13936;0;0.014704586;349146;4676312857;0.501267143;1141362857;31171957.14;361232;2928472857;0.806289143
19;32274;138912;26226;112224;4;30.35;11;10;19;7;15;36;6;19952;9232;0.317442286;0.784014429;5302425714;1099998571;0.692047429;4156988571;29749600;12265642.86;8329958571;0.041127914
11;25218;105504;26298;122.4;9;41.75;14;11;34;7;6;19;3;6896;13136;0;0.025253257;3489177143;4487972857;0.395113714;2354737143;33960614.29;7224747143;2151951429;0.804444857
24;28926;74016;23634;69024;6;24.95;7;9;18;13;13;40;6;7152;10384;0;0.006916829;3571027143;4570834286;0.99992;2757185714;33025685.71;14112714.29;12608814.29;0.816538714
